Ref,Val,Package,PosX,PosY,Rot,Side
"H1","1550Z109","1550Z109",75.438000,5.588000,0.000000,top
"SW1","Switch_SW_Push","MX-KailhClip-1.00u-no-top-ring",28.830000,19.380000,0.000000,top
"SW2","Switch_SW_Push","MX-KailhClip-1.00u-no-top-ring",47.830000,19.380000,0.000000,top
"SW3","Switch_SW_Push","MX-KailhClip-1.00u-no-top-ring",66.830000,19.380000,0.000000,top
"SW4","Switch_SW_Push","MX-KailhClip-1.00u-no-top-ring",85.830000,19.380000,0.000000,top
"SW5","Switch_SW_Push","MX-KailhClip-1.00u-no-top-ring",104.830000,19.380000,0.000000,top
"SW6","Switch_SW_Push","MX-KailhClip-1.00u-no-top-ring",123.830000,19.380000,0.000000,top
